alert_id,external_id,organization_id,asset_id,analyst_id,alert_type,severity,status,created_at,closed_at,closure_time_minutes,investigation_notes,evidence_reviewed,escalated,false_positive,incident_id
ALT00001,SIEM-900001,ORG00327,AST03636,AN04637,Suspicious Login,Medium,Escalated,2026-08-20 15:17:00,,,Checked endpoint telemetry and correlated network events.,Yes,Yes,No,INC00001
ALT00002,SIEM-900002,ORG00928,AST00044,AN16346,Malware,Critical,Escalated,2026-08-28 23:20:00,,,Checked endpoint telemetry and correlated network events.,No,Yes,Yes,INC00002
ALT00003,SIEM-900003,ORG00793,AST08819,AN19613,Impossible Travel,Critical,Closed,2026-08-05 17:24:00,2026-08-05 18:53:00,89,Checked endpoint telemetry and correlated network events.,Yes,No,No,
ALT00004,SIEM-900004,ORG00838,AST12030,AN23328,Privilege Escalation,Low,Closed,2026-08-13 07:36:00,2026-08-13 08:34:00,58,Investigated user activity and historical baseline.,Yes,Yes,No,
ALT00005,SIEM-900005,ORG00201,AST01987,AN03365,Malware,Medium,Closed,2026-08-29 05:46:00,2026-08-29 06:24:00,38,Validated detection against SIEM and endpoint evidence.,Yes,No,Yes,
ALT00006,SIEM-900006,ORG00928,AST10139,AN21231,Data Exfiltration,High,Closed,2026-08-14 02:05:00,2026-08-14 03:17:00,72,Checked endpoint telemetry and correlated network events.,Yes,No,No,
ALT00007,SIEM-900007,ORG00174,AST16349,AN06400,Malware,Medium,Closed,2026-08-28 02:08:00,2026-08-28 03:09:00,61,Checked endpoint telemetry and correlated network events.,Yes,Yes,No,
ALT00008,SIEM-900008,ORG00118,AST08592,AN03645,Port Scan,High,Investigating,2026-08-13 21:22:00,,,Validated detection against SIEM and endpoint evidence.,Yes,Yes,Yes,
ALT00009,SIEM-900009,ORG00458,AST16325,AN01605,Malware,Low,Closed,2026-08-15 13:25:00,2026-08-15 13:40:00,15,Validated detection against SIEM and endpoint evidence.,No,No,No,
ALT00010,SIEM-900010,ORG00971,AST05209,AN18651,Privilege Escalation,Medium,Closed,2026-08-08 13:14:00,2026-08-08 14:39:00,85,Validated detection against SIEM and endpoint evidence.,Yes,Yes,No,
ALT00011,SIEM-900011,ORG00748,AST18429,AN23938,Port Scan,Medium,Escalated,2026-08-25 06:36:00,,,Validated detection against SIEM and endpoint evidence.,No,Yes,No,INC00011
ALT00012,SIEM-900012,ORG00991,AST06511,AN19756,Port Scan,Medium,Closed,2026-08-31 03:14:00,2026-08-31 03:35:00,21,Checked endpoint telemetry and correlated network events.,Yes,No,No,
ALT00013,SIEM-900013,ORG00006,AST12372,AN07173,Malware,Medium,Closed,2026-08-07 22:30:00,2026-08-08 00:51:00,141,Reviewed authentication logs and source IP.,Yes,Yes,No,
ALT00014,SIEM-900014,ORG00237,AST24403,AN09973,Malware,Low,Closed,2026-08-01 08:12:00,2026-08-01 09:15:00,63,Reviewed authentication logs and source IP.,Yes,No,Yes,
ALT00015,SIEM-900015,ORG00188,AST23202,AN22281,Malware,Medium,Closed,2026-08-26 21:52:00,2026-08-26 22:33:00,41,Validated detection against SIEM and endpoint evidence.,Yes,No,No,
ALT00016,SIEM-900016,ORG00120,AST00429,AN04054,Brute Force,Medium,Open,2026-08-26 08:37:00,,,Investigated user activity and historical baseline.,Yes,No,No,
ALT00017,SIEM-900017,ORG00345,AST23794,AN06005,Malware,Medium,Closed,2026-08-25 04:08:00,2026-08-25 04:18:00,10,Reviewed authentication logs and source IP.,No,No,Yes,
ALT00018,SIEM-900018,ORG00067,AST10753,AN12400,Privilege Escalation,Medium,Escalated,2026-08-09 21:49:00,,,Validated detection against SIEM and endpoint evidence.,Yes,Yes,No,INC00018
ALT00019,SIEM-900019,ORG00167,AST20192,AN17389,Data Exfiltration,Medium,Investigating,2026-08-28 21:43:00,,,Reviewed authentication logs and source IP.,No,No,No,
ALT00020,SIEM-900020,ORG00860,AST13812,AN18086,Port Scan,Low,Closed,2026-08-13 17:03:00,2026-08-13 17:15:00,12,Validated detection against SIEM and endpoint evidence.,Yes,Yes,No,
ALT00021,SIEM-900021,ORG00036,AST17946,AN18588,Anomalous Process,Critical,Closed,2026-09-08 21:42:00,2026-09-08 22:22:00,40,Investigated user activity and historical baseline.,Yes,No,No,
ALT00022,SIEM-900022,ORG00006,AST22519,AN14772,Ransomware,Medium,Closed,2026-08-26 18:50:00,2026-08-26 19:07:00,17,Validated detection against SIEM and endpoint evidence.,No,No,No,
ALT00023,SIEM-900023,ORG00911,AST13403,AN20354,Ransomware,High,Closed,2026-08-24 00:11:00,2026-08-24 00:35:00,24,Investigated user activity and historical baseline.,Yes,Yes,No,
ALT00024,SIEM-900024,ORG00694,AST07073,AN10328,Anomalous Process,High,Closed,2026-08-20 16:42:00,2026-08-20 17:24:00,42,Investigated user activity and historical baseline.,Yes,Yes,No,
ALT00025,SIEM-900025,ORG00025,AST05128,AN15603,Ransomware,Medium,Closed,2026-09-02 02:28:00,2026-09-02 03:02:00,34,Checked endpoint telemetry and correlated network events.,Yes,No,Yes,
ALT00026,SIEM-900026,ORG00634,AST09364,AN16233,Ransomware,Low,Closed,2026-08-09 01:10:00,2026-08-09 01:40:00,30,Validated detection against SIEM and endpoint evidence.,Yes,No,Yes,
ALT00027,SIEM-900027,ORG00062,AST17169,AN03798,Port Scan,Medium,Closed,2026-09-07 17:24:00,2026-09-07 18:12:00,48,Reviewed authentication logs and source IP.,Yes,Yes,No,
ALT00028,SIEM-900028,ORG00573,AST19593,AN08077,Privilege Escalation,Medium,Closed,2026-09-03 21:59:00,2026-09-03 22:15:00,16,Validated detection against SIEM and endpoint evidence.,Yes,Yes,No,
ALT00029,SIEM-900029,ORG00233,AST12607,AN13471,Phishing,High,Investigating,2026-08-21 01:55:00,,,Investigated user activity and historical baseline.,Yes,Yes,No,
ALT00030,SIEM-900030,ORG00493,AST12460,AN17160,Brute Force,Low,Closed,2026-08-18 13:57:00,2026-08-18 14:40:00,43,Checked endpoint telemetry and correlated network events.,Yes,No,No,
ALT00031,SIEM-900031,ORG00247,AST10759,AN12285,Brute Force,Medium,Closed,2026-08-16 20:16:00,2026-08-16 20:36:00,20,Reviewed authentication logs and source IP.,Yes,No,No,
ALT00032,SIEM-900032,ORG00406,AST20849,AN13197,Privilege Escalation,Low,Closed,2026-08-30 12:35:00,2026-08-30 13:10:00,35,Validated detection against SIEM and endpoint evidence.,Yes,Yes,No,
ALT00033,SIEM-900033,ORG00015,AST24674,AN05297,Suspicious Login,Critical,Closed,2026-08-04 21:34:00,2026-08-04 22:12:00,38,Reviewed authentication logs and source IP.,No,No,No,INC00033
ALT00034,SIEM-900034,ORG00784,AST20520,AN01565,Phishing,Medium,Closed,2026-08-20 03:51:00,2026-08-20 04:16:00,25,Validated detection against SIEM and endpoint evidence.,No,No,No,
ALT00035,SIEM-900035,ORG00795,AST21975,AN03846,Malware,Medium,Closed,2026-08-09 05:23:00,2026-08-09 06:04:00,41,Investigated user activity and historical baseline.,Yes,Yes,No,
ALT00036,SIEM-900036,ORG00476,AST22784,AN18337,Malware,Medium,Closed,2026-08-17 20:33:00,2026-08-17 20:56:00,23,Investigated user activity and historical baseline.,No,Yes,No,
ALT00037,SIEM-900037,ORG00150,AST00546,AN20280,Malware,Medium,Closed,2026-08-09 15:24:00,2026-08-09 16:22:00,58,Checked endpoint telemetry and correlated network events.,Yes,Yes,No,
ALT00038,SIEM-900038,ORG00151,AST24818,AN22564,Phishing,Medium,Closed,2026-08-14 10:49:00,2026-08-14 11:06:00,17,Validated detection against SIEM and endpoint evidence.,Yes,Yes,Yes,
ALT00039,SIEM-900039,ORG00031,AST15175,AN21824,Brute Force,Low,Open,2026-08-07 00:36:00,,,Validated detection against SIEM and endpoint evidence.,No,Yes,Yes,
ALT00040,SIEM-900040,ORG00049,AST04723,AN11499,Suspicious Login,Medium,Closed,2026-08-05 12:42:00,2026-08-05 13:08:00,26,Investigated user activity and historical baseline.,Yes,No,No,
ALT00041,SIEM-900041,ORG00427,AST24539,AN03527,Impossible Travel,Low,Closed,2026-08-10 11:13:00,2026-08-10 13:14:00,121,Reviewed authentication logs and source IP.,Yes,Yes,Yes,
ALT00042,SIEM-900042,ORG00132,AST06671,AN22212,Anomalous Process,Low,Closed,2026-09-01 22:15:00,2026-09-01 22:45:00,30,Reviewed authentication logs and source IP.,Yes,Yes,No,
ALT00043,SIEM-900043,ORG00529,AST02634,AN02375,Data Exfiltration,Critical,Closed,2026-09-04 00:18:00,2026-09-04 00:33:00,15,Checked endpoint telemetry and correlated network events.,Yes,Yes,No,
ALT00044,SIEM-900044,ORG00759,AST19071,AN10815,Brute Force,Medium,Escalated,2026-08-29 11:11:00,,,Reviewed authentication logs and source IP.,Yes,Yes,No,INC00044
ALT00045,SIEM-900045,ORG00652,AST08815,AN20667,Privilege Escalation,Medium,Open,2026-08-09 17:41:00,,,Reviewed authentication logs and source IP.,Yes,Yes,No,
ALT00046,SIEM-900046,ORG00700,AST20304,AN21501,Impossible Travel,Medium,Closed,2026-08-21 16:11:00,2026-08-21 17:12:00,61,Checked endpoint telemetry and correlated network events.,Yes,No,No,
ALT00047,SIEM-900047,ORG00982,AST24373,AN07889,Privilege Escalation,Low,Escalated,2026-08-17 08:18:00,,,Validated detection against SIEM and endpoint evidence.,Yes,Yes,No,INC00047
ALT00048,SIEM-900048,ORG00249,AST21806,AN23489,Privilege Escalation,Low,Closed,2026-08-10 07:16:00,2026-08-10 09:43:00,147,Checked endpoint telemetry and correlated network events.,Yes,No,Yes,
ALT00049,SIEM-900049,ORG00695,AST07714,AN12070,Malware,Medium,Closed,2026-08-24 03:18:00,2026-08-24 04:03:00,45,Validated detection against SIEM and endpoint evidence.,No,No,No,
ALT00050,SIEM-900050,ORG00305,AST08573,AN06944,Port Scan,Medium,Closed,2026-08-28 22:41:00,2026-08-28 23:07:00,26,Reviewed authentication logs and source IP.,No,Yes,No,
ALT00051,SIEM-900051,ORG00555,AST09834,AN21186,Anomalous Process,Low,Closed,2026-08-28 18:52:00,2026-08-28 19:34:00,42,Checked endpoint telemetry and correlated network events.,Yes,Yes,Yes,
ALT00052,SIEM-900052,ORG00989,AST09497,AN24597,Anomalous Process,Critical,Closed,2026-09-09 09:57:00,2026-09-09 11:06:00,69,Checked endpoint telemetry and correlated network events.,No,No,No,
ALT00053,SIEM-900053,ORG00373,AST07077,AN22485,Brute Force,Low,Closed,2026-08-14 00:45:00,2026-08-14 01:56:00,71,Checked endpoint telemetry and correlated network events.,Yes,Yes,No,
ALT00054,SIEM-900054,ORG00949,AST24419,AN17222,Anomalous Process,Medium,Closed,2026-09-03 15:45:00,2026-09-03 16:15:00,30,Investigated user activity and historical baseline.,No,Yes,No,
