activity_id,asset_id,timestamp,event_count,log_sources_active,network_events,authentication_events,status
ACT00001,AST01119,2026-08-05 00:00:00,940,4,184,92,Normal
ACT00002,AST04396,2026-08-17 15:00:00,702,4,107,114,Normal
ACT00003,AST09072,2026-08-25 13:00:00,465,4,81,44,Normal
ACT00004,AST15501,2026-08-18 16:00:00,340,5,121,17,Normal
ACT00005,AST04954,2026-08-26 13:00:00,1043,8,253,75,Normal
ACT00006,AST18515,2026-08-11 02:00:00,470,8,126,68,Normal
ACT00007,AST20059,2026-08-10 17:00:00,780,8,281,84,Normal
ACT00008,AST07327,2026-08-02 20:00:00,517,4,155,88,Normal
ACT00009,AST17022,2026-08-27 06:00:00,446,5,195,44,Normal
ACT00010,AST18316,2026-08-13 10:00:00,535,2,228,17,Normal
ACT00011,AST05498,2026-08-17 04:00:00,763,3,131,111,Normal
ACT00012,AST17531,2026-08-09 11:00:00,1545,2,515,267,Normal
ACT00013,AST14029,2026-08-22 23:00:00,480,2,84,26,Normal
ACT00014,AST21038,2026-08-20 06:00:00,996,7,314,138,Normal
ACT00015,AST00716,2026-09-02 13:00:00,1326,2,448,208,Normal
ACT00016,AST03205,2026-08-05 10:00:00,594,5,148,78,Normal
ACT00017,AST23836,2026-08-12 07:00:00,324,7,101,35,Normal
ACT00018,AST24562,2026-08-24 10:00:00,232,8,84,27,Normal
ACT00019,AST23683,2026-08-03 23:00:00,512,2,102,33,Normal
ACT00020,AST17746,2026-08-11 09:00:00,643,3,233,54,Normal
ACT00021,AST15431,2026-08-31 05:00:00,452,7,165,29,Normal
ACT00022,AST04413,2026-08-30 12:00:00,688,6,190,68,Normal
ACT00023,AST01001,2026-08-13 18:00:00,686,8,302,80,Normal
ACT00024,AST10610,2026-08-02 13:00:00,672,5,146,80,Normal
ACT00025,AST08281,2026-08-20 06:00:00,1626,5,681,64,Normal
ACT00026,AST15386,2026-08-18 02:00:00,590,3,217,62,Normal
ACT00027,AST11826,2026-08-19 05:00:00,668,7,291,88,Normal
ACT00028,AST20576,2026-08-08 07:00:00,366,4,56,55,Normal
ACT00029,AST06938,2026-08-03 12:00:00,522,8,205,15,Normal
ACT00030,AST24090,2026-08-22 16:00:00,759,6,261,33,Normal
ACT00031,AST07657,2026-08-05 15:00:00,786,8,124,67,Normal
ACT00032,AST10311,2026-08-02 10:00:00,445,6,121,17,Normal
ACT00033,AST12173,2026-08-31 07:00:00,685,7,197,71,Normal
ACT00034,AST15588,2026-08-29 19:00:00,791,7,324,41,Normal
ACT00035,AST15780,2026-08-22 13:00:00,237,5,97,15,Normal
ACT00036,AST07027,2026-08-05 21:00:00,801,3,351,138,Normal
ACT00037,AST14463,2026-08-25 05:00:00,278,6,120,10,Normal
ACT00038,AST20633,2026-08-29 01:00:00,868,7,296,58,Normal
ACT00039,AST10024,2026-08-05 14:00:00,872,6,361,117,Normal
ACT00040,AST21315,2026-09-03 17:00:00,731,6,250,83,Normal
ACT00041,AST24401,2026-08-08 15:00:00,537,8,86,54,Normal
ACT00042,AST09519,2026-08-27 21:00:00,1114,8,403,135,Normal
ACT00043,AST02517,2026-09-05 04:00:00,518,2,124,69,Normal
ACT00044,AST04043,2026-08-15 16:00:00,1307,8,535,170,Normal
ACT00045,AST12234,2026-08-13 00:00:00,501,5,110,47,Normal
ACT00046,AST00116,2026-08-10 19:00:00,833,3,175,119,Normal
ACT00047,AST07441,2026-08-15 15:00:00,1313,2,494,71,Normal
ACT00048,AST21417,2026-08-06 05:00:00,810,8,325,46,Normal
ACT00049,AST08912,2026-08-27 15:00:00,984,4,325,120,Normal
ACT00050,AST15951,2026-08-30 19:00:00,724,5,246,82,Normal
ACT00051,AST04813,2026-08-20 06:00:00,724,8,302,67,Normal
ACT00052,AST13759,2026-09-03 13:00:00,572,3,130,20,Normal
ACT00053,AST09455,2026-08-05 05:00:00,710,3,312,106,Normal
ACT00054,AST08737,2026-09-04 16:00:00,420,6,184,36,Normal
ACT00055,AST03488,2026-08-04 23:00:00,1274,5,511,187,Normal
ACT00056,AST05629,2026-09-06 10:00:00,643,8,101,97,Normal
ACT00057,AST15375,2026-08-06 06:00:00,624,8,252,58,Normal
ACT00058,AST06274,2026-08-08 21:00:00,646,4,213,23,Normal
ACT00059,AST11211,2026-08-23 22:00:00,907,4,358,142,Normal
ACT00060,AST03152,2026-08-18 23:00:00,359,7,148,31,Normal
ACT00061,AST24799,2026-08-26 00:00:00,283,4,117,9,Normal
ACT00062,AST21368,2026-08-05 05:00:00,744,2,240,131,Normal
ACT00063,AST03306,2026-08-31 18:00:00,1709,4,371,130,Normal
ACT00064,AST11931,2026-08-07 00:00:00,1249,8,377,193,Normal
ACT00065,AST22437,2026-08-25 22:00:00,801,2,214,60,Normal
ACT00066,AST22959,2026-08-08 04:00:00,544,3,134,96,Normal
ACT00067,AST11135,2026-08-17 11:00:00,474,3,135,37,Normal
ACT00068,AST10054,2026-08-04 04:00:00,915,5,177,79,Normal
ACT00069,AST13996,2026-08-21 02:00:00,2066,2,331,303,Normal
ACT00070,AST23832,2026-08-17 21:00:00,805,5,211,62,Normal
