asset_id,organization_id,asset_identifier,asset_name,asset_type,criticality,environment,location,status
AST00001,ORG00529,SRV-00001,Network Device 00001,Network Device,Critical,Development,Delhi DC,Active
AST00002,ORG00915,SRV-00002,Database 00002,Database,High,Staging,Bengaluru DC,Active
AST00003,ORG00147,SRV-00003,Domain Controller 00003,Domain Controller,High,Development,Mumbai DC,Active
AST00004,ORG00837,SRV-00004,Database 00004,Database,High,Staging,Bengaluru DC,Active
AST00005,ORG00448,SRV-00005,Server 00005,Server,Low,Staging,Hyderabad DC,Active
AST00006,ORG00537,SRV-00006,Cloud Instance 00006,Cloud Instance,Low,Production,Pune DC,Active
AST00007,ORG00764,SRV-00007,Database 00007,Database,Critical,Development,Bengaluru DC,Active
AST00008,ORG00839,SRV-00008,Firewall 00008,Firewall,High,Development,Hyderabad DC,Active
AST00009,ORG00222,SRV-00009,Application 00009,Application,Medium,Staging,Hyderabad DC,Active
AST00010,ORG00534,SRV-00010,Cloud Instance 00010,Cloud Instance,Low,Development,Mumbai DC,Active
AST00011,ORG00734,SRV-00011,Application 00011,Application,Critical,Development,Delhi DC,Active
AST00012,ORG00819,SRV-00012,Domain Controller 00012,Domain Controller,Medium,Staging,Delhi DC,Active
AST00013,ORG00981,SRV-00013,Workstation 00013,Workstation,Medium,Production,Hyderabad DC,Active
AST00014,ORG00513,SRV-00014,Domain Controller 00014,Domain Controller,Low,Production,Pune DC,Active
AST00015,ORG00467,SRV-00015,Database 00015,Database,Critical,Staging,Bengaluru DC,Active
AST00016,ORG00467,SRV-00016,Network Device 00016,Network Device,High,Production,Pune DC,Active
AST00017,ORG00508,SRV-00017,Firewall 00017,Firewall,High,Production,Bengaluru DC,Active
AST00018,ORG00926,SRV-00018,Database 00018,Database,High,Development,Pune DC,Active
AST00019,ORG00897,SRV-00019,Database 00019,Database,High,Production,Mumbai DC,Active
AST00020,ORG00240,SRV-00020,Server 00020,Server,High,Development,Pune DC,Active
AST00021,ORG00792,SRV-00021,Workstation 00021,Workstation,High,Development,Pune DC,Active
AST00022,ORG00094,SRV-00022,Firewall 00022,Firewall,Medium,Development,Bengaluru DC,Inactive
AST00023,ORG00264,SRV-00023,Domain Controller 00023,Domain Controller,Low,Staging,Bengaluru DC,Active
AST00024,ORG00182,SRV-00024,Database 00024,Database,High,Staging,Pune DC,Active
AST00025,ORG00790,SRV-00025,Network Device 00025,Network Device,Critical,Staging,Delhi DC,Active
AST00026,ORG00885,SRV-00026,Cloud Instance 00026,Cloud Instance,Low,Production,Bengaluru DC,Active
AST00027,ORG00371,SRV-00027,Firewall 00027,Firewall,High,Development,Mumbai DC,Active
AST00028,ORG00377,SRV-00028,Cloud Instance 00028,Cloud Instance,High,Staging,Hyderabad DC,Active
AST00029,ORG00939,SRV-00029,Application 00029,Application,Medium,Development,Mumbai DC,Active
AST00030,ORG00892,SRV-00030,Server 00030,Server,High,Staging,Bengaluru DC,Maintenance
AST00031,ORG00305,SRV-00031,Database 00031,Database,Medium,Development,Hyderabad DC,Maintenance
AST00032,ORG00048,SRV-00032,Workstation 00032,Workstation,Medium,Development,Bengaluru DC,Active
AST00033,ORG00834,SRV-00033,Domain Controller 00033,Domain Controller,High,Production,Hyderabad DC,Active
AST00034,ORG00288,SRV-00034,Application 00034,Application,High,Development,Bengaluru DC,Active
AST00035,ORG00329,SRV-00035,Application 00035,Application,Medium,Staging,Mumbai DC,Active
AST00036,ORG00766,SRV-00036,Workstation 00036,Workstation,Medium,Staging,Delhi DC,Active
AST00037,ORG00231,SRV-00037,Network Device 00037,Network Device,High,Staging,Bengaluru DC,Active
AST00038,ORG00876,SRV-00038,Domain Controller 00038,Domain Controller,Medium,Staging,Hyderabad DC,Active
AST00039,ORG00930,SRV-00039,Domain Controller 00039,Domain Controller,Medium,Production,Delhi DC,Active
AST00040,ORG00145,SRV-00040,Firewall 00040,Firewall,High,Development,Mumbai DC,Active
AST00041,ORG00852,SRV-00041,Cloud Instance 00041,Cloud Instance,High,Staging,Mumbai DC,Active
AST00042,ORG00187,SRV-00042,Network Device 00042,Network Device,High,Development,Hyderabad DC,Active
AST00043,ORG00480,SRV-00043,Network Device 00043,Network Device,Medium,Production,Mumbai DC,Active
AST00044,ORG00715,SRV-00044,Cloud Instance 00044,Cloud Instance,Medium,Staging,Bengaluru DC,Active
AST00045,ORG00986,SRV-00045,Cloud Instance 00045,Cloud Instance,Medium,Development,Pune DC,Active
AST00046,ORG00616,SRV-00046,Application 00046,Application,Medium,Staging,Bengaluru DC,Active
AST00047,ORG00963,SRV-00047,Domain Controller 00047,Domain Controller,Medium,Staging,Hyderabad DC,Active
AST00048,ORG00181,SRV-00048,Domain Controller 00048,Domain Controller,Critical,Staging,Delhi DC,Active
AST00049,ORG00868,SRV-00049,Application 00049,Application,High,Development,Pune DC,Active
AST00050,ORG00282,SRV-00050,Network Device 00050,Network Device,High,Staging,Delhi DC,Active
AST00051,ORG00093,SRV-00051,Firewall 00051,Firewall,Medium,Development,Delhi DC,Active
AST00052,ORG00140,SRV-00052,Cloud Instance 00052,Cloud Instance,Medium,Production,Hyderabad DC,Active
AST00053,ORG00310,SRV-00053,Database 00053,Database,Low,Development,Delhi DC,Active
AST00054,ORG00967,SRV-00054,Workstation 00054,Workstation,Critical,Production,Pune DC,Active
AST00055,ORG00576,SRV-00055,Workstation 00055,Workstation,Low,Production,Pune DC,Active
AST00056,ORG00835,SRV-00056,Network Device 00056,Network Device,High,Development,Pune DC,Active
AST00057,ORG00832,SRV-00057,Domain Controller 00057,Domain Controller,Medium,Development,Mumbai DC,Active
AST00058,ORG00057,SRV-00058,Domain Controller 00058,Domain Controller,High,Production,Bengaluru DC,Inactive
AST00059,ORG00377,SRV-00059,Workstation 00059,Workstation,High,Development,Delhi DC,Active
AST00060,ORG00808,SRV-00060,Application 00060,Application,Critical,Production,Pune DC,Active
AST00061,ORG00089,SRV-00061,Application 00061,Application,Medium,Development,Hyderabad DC,Active
AST00062,ORG00435,SRV-00062,Domain Controller 00062,Domain Controller,Low,Development,Delhi DC,Active
AST00063,ORG00739,SRV-00063,Database 00063,Database,Medium,Production,Bengaluru DC,Active
AST00064,ORG00802,SRV-00064,Database 00064,Database,High,Production,Bengaluru DC,Active
AST00065,ORG00758,SRV-00065,Cloud Instance 00065,Cloud Instance,Low,Staging,Bengaluru DC,Active
AST00066,ORG00373,SRV-00066,Domain Controller 00066,Domain Controller,Low,Production,Bengaluru DC,Active
AST00067,ORG00526,SRV-00067,Server 00067,Server,Medium,Staging,Bengaluru DC,Active
AST00068,ORG00907,SRV-00068,Cloud Instance 00068,Cloud Instance,High,Production,Pune DC,Active
AST00069,ORG00720,SRV-00069,Firewall 00069,Firewall,Medium,Production,Hyderabad DC,Active
AST00070,ORG00058,SRV-00070,Firewall 00070,Firewall,Critical,Staging,Mumbai DC,Active
AST00071,ORG00602,SRV-00071,Network Device 00071,Network Device,Medium,Development,Mumbai DC,Active
AST00072,ORG00515,SRV-00072,Server 00072,Server,Medium,Staging,Pune DC,Active
AST00073,ORG00303,SRV-00073,Firewall 00073,Firewall,High,Staging,Mumbai DC,Active
AST00074,ORG00370,SRV-00074,Network Device 00074,Network Device,Medium,Production,Mumbai DC,Active
AST00075,ORG00728,SRV-00075,Cloud Instance 00075,Cloud Instance,High,Production,Mumbai DC,Active
AST00076,ORG00519,SRV-00076,Cloud Instance 00076,Cloud Instance,High,Development,Hyderabad DC,Active
AST00077,ORG00087,SRV-00077,Server 00077,Server,High,Development,Pune DC,Active
AST00078,ORG00010,SRV-00078,Firewall 00078,Firewall,Low,Development,Pune DC,Active
AST00079,ORG00700,SRV-00079,Network Device 00079,Network Device,Critical,Staging,Bengaluru DC,Active
AST00080,ORG00102,SRV-00080,Application 00080,Application,High,Production,Bengaluru DC,Active
AST00081,ORG00393,SRV-00081,Application 00081,Application,High,Development,Bengaluru DC,Active
AST00082,ORG00393,SRV-00082,Firewall 00082,Firewall,Low,Staging,Bengaluru DC,Inactive
AST00083,ORG00555,SRV-00083,Application 00083,Application,High,Staging,Mumbai DC,Active
AST00084,ORG00921,SRV-00084,Domain Controller 00084,Domain Controller,High,Production,Delhi DC,Active
AST00085,ORG00748,SRV-00085,Database 00085,Database,Low,Development,Bengaluru DC,Active
