incident_id,external_id,organization_id,title,severity,status,description,created_at,resolved_at
INC00001,INC-SOC-100001,ORG00641,Privilege Escalation,Critical,Closed,Security control deviation detected.,2026-08-07 22:20:00,2026-08-09 18:20:00
INC00002,INC-SOC-100002,ORG00350,Credential Attack,Low,Closed,Multiple suspicious events correlated.,2026-08-23 07:37:00,2026-08-23 11:37:00
INC00003,INC-SOC-100003,ORG00720,Phishing Campaign,Medium,Resolved,Malicious activity detected across telemetry.,2026-08-25 22:25:00,2026-08-27 12:25:00
INC00004,INC-SOC-100004,ORG00221,Suspicious Network Activity,Low,Closed,Malicious activity detected across telemetry.,2026-09-01 18:22:00,2026-09-03 13:22:00
INC00005,INC-SOC-100005,ORG00477,Privilege Escalation,Critical,Closed,Malicious activity detected across telemetry.,2026-09-01 01:49:00,2026-09-01 03:49:00
INC00006,INC-SOC-100006,ORG00995,Data Exfiltration,Critical,Resolved,Security control deviation detected.,2026-08-30 02:14:00,2026-08-30 03:14:00
INC00007,INC-SOC-100007,ORG00790,Data Exfiltration,Low,Resolved,Potential compromise identified.,2026-08-14 13:48:00,2026-08-16 23:48:00
INC00008,INC-SOC-100008,ORG00778,Credential Attack,Critical,Resolved,Multiple suspicious events correlated.,2026-09-08 01:30:00,2026-09-10 13:30:00
INC00009,INC-SOC-100009,ORG00390,Suspicious Network Activity,Low,Resolved,Potential compromise identified.,2026-09-02 22:32:00,2026-09-04 01:32:00
INC00010,INC-SOC-100010,ORG00832,Phishing Campaign,Medium,Closed,Malicious activity detected across telemetry.,2026-08-25 23:57:00,2026-08-28 04:57:00
INC00011,INC-SOC-100011,ORG00311,Privilege Escalation,Low,Resolved,Multiple suspicious events correlated.,2026-08-01 06:07:00,2026-08-02 08:07:00
INC00012,INC-SOC-100012,ORG00310,Phishing Campaign,Medium,Resolved,Potential compromise identified.,2026-09-08 17:47:00,2026-09-09 05:47:00
INC00013,INC-SOC-100013,ORG00478,Malware Infection,Low,Investigating,Security control deviation detected.,2026-09-02 07:51:00,
INC00014,INC-SOC-100014,ORG00941,Data Exfiltration,Critical,Resolved,Security control deviation detected.,2026-08-08 06:20:00,2026-08-10 18:20:00
INC00015,INC-SOC-100015,ORG00420,Phishing Campaign,Critical,Resolved,Malicious activity detected across telemetry.,2026-09-06 14:14:00,2026-09-08 20:14:00
INC00016,INC-SOC-100016,ORG00101,Malware Infection,Medium,Closed,Security control deviation detected.,2026-08-26 17:13:00,2026-08-29 14:13:00
INC00017,INC-SOC-100017,ORG00555,Suspicious Network Activity,Low,Closed,Security control deviation detected.,2026-08-16 16:30:00,2026-08-18 20:30:00
INC00018,INC-SOC-100018,ORG00810,Phishing Campaign,High,Resolved,Malicious activity detected across telemetry.,2026-08-01 03:15:00,2026-08-02 16:15:00
INC00019,INC-SOC-100019,ORG00121,Credential Attack,High,Resolved,Security control deviation detected.,2026-08-23 20:00:00,2026-08-24 08:00:00
INC00020,INC-SOC-100020,ORG00553,Phishing Campaign,Low,Closed,Malicious activity detected across telemetry.,2026-08-13 06:04:00,2026-08-14 02:04:00
INC00021,INC-SOC-100021,ORG00022,Suspicious Network Activity,Critical,Resolved,Security control deviation detected.,2026-08-29 12:03:00,2026-08-30 17:03:00
INC00022,INC-SOC-100022,ORG00094,Malware Infection,Medium,Resolved,Multiple suspicious events correlated.,2026-08-15 08:08:00,2026-08-17 17:08:00
INC00023,INC-SOC-100023,ORG00943,Privilege Escalation,Medium,Investigating,Potential compromise identified.,2026-08-28 16:36:00,
INC00024,INC-SOC-100024,ORG00240,Malware Infection,High,Resolved,Security control deviation detected.,2026-08-23 16:53:00,2026-08-25 22:53:00
INC00025,INC-SOC-100025,ORG00327,Credential Attack,Low,Resolved,Multiple suspicious events correlated.,2026-08-09 08:11:00,2026-08-10 05:11:00
INC00026,INC-SOC-100026,ORG00257,Suspicious Network Activity,Critical,Resolved,Potential compromise identified.,2026-08-10 00:50:00,2026-08-12 07:50:00
INC00027,INC-SOC-100027,ORG00283,Privilege Escalation,High,Resolved,Multiple suspicious events correlated.,2026-08-16 10:29:00,2026-08-18 18:29:00
INC00028,INC-SOC-100028,ORG00746,Phishing Campaign,High,Investigating,Multiple suspicious events correlated.,2026-08-22 13:51:00,
INC00029,INC-SOC-100029,ORG00600,Data Exfiltration,Medium,Closed,Security control deviation detected.,2026-08-25 05:45:00,2026-08-27 16:45:00
INC00030,INC-SOC-100030,ORG00338,Malware Infection,Low,Resolved,Potential compromise identified.,2026-08-21 19:40:00,2026-08-22 07:40:00
INC00031,INC-SOC-100031,ORG00292,Credential Attack,Low,Resolved,Multiple suspicious events correlated.,2026-08-23 02:09:00,2026-08-23 03:09:00
INC00032,INC-SOC-100032,ORG00945,Phishing Campaign,Low,Resolved,Malicious activity detected across telemetry.,2026-08-26 00:19:00,2026-08-27 23:19:00
INC00033,INC-SOC-100033,ORG00396,Credential Attack,High,Closed,Security control deviation detected.,2026-08-04 15:21:00,2026-08-06 09:21:00
INC00034,INC-SOC-100034,ORG00193,Data Exfiltration,Critical,Resolved,Malicious activity detected across telemetry.,2026-08-20 21:14:00,2026-08-22 19:14:00
INC00035,INC-SOC-100035,ORG00247,Suspicious Network Activity,Low,Closed,Multiple suspicious events correlated.,2026-08-21 01:56:00,2026-08-21 19:56:00
INC00036,INC-SOC-100036,ORG00481,Privilege Escalation,Critical,Resolved,Potential compromise identified.,2026-08-01 03:56:00,2026-08-03 11:56:00
INC00037,INC-SOC-100037,ORG00044,Phishing Campaign,Low,Closed,Security control deviation detected.,2026-08-09 00:30:00,2026-08-10 16:30:00
INC00038,INC-SOC-100038,ORG00865,Data Exfiltration,Critical,Resolved,Malicious activity detected across telemetry.,2026-08-14 12:46:00,2026-08-16 05:46:00
INC00039,INC-SOC-100039,ORG00049,Privilege Escalation,High,Resolved,Malicious activity detected across telemetry.,2026-08-17 18:56:00,2026-08-19 02:56:00
INC00040,INC-SOC-100040,ORG00749,Suspicious Network Activity,Medium,Closed,Multiple suspicious events correlated.,2026-09-01 06:04:00,2026-09-03 15:04:00
INC00041,INC-SOC-100041,ORG00196,Privilege Escalation,Medium,Closed,Security control deviation detected.,2026-08-31 22:09:00,2026-09-01 15:09:00
INC00042,INC-SOC-100042,ORG00010,Phishing Campaign,Low,Resolved,Security control deviation detected.,2026-09-01 12:13:00,2026-09-02 18:13:00
INC00043,INC-SOC-100043,ORG00548,Suspicious Network Activity,Critical,Closed,Security control deviation detected.,2026-08-30 19:58:00,2026-09-02 15:58:00
INC00044,INC-SOC-100044,ORG00354,Credential Attack,Low,Closed,Potential compromise identified.,2026-08-21 06:01:00,2026-08-23 09:01:00
INC00045,INC-SOC-100045,ORG00666,Credential Attack,Low,Open,Malicious activity detected across telemetry.,2026-08-26 07:19:00,
INC00046,INC-SOC-100046,ORG00208,Privilege Escalation,Critical,Resolved,Security control deviation detected.,2026-08-13 08:04:00,2026-08-15 20:04:00
INC00047,INC-SOC-100047,ORG00983,Credential Attack,Medium,Closed,Security control deviation detected.,2026-08-01 20:31:00,2026-08-03 09:31:00
