investigation_id,alert_id,analyst_id,started_at,completed_at,duration_minutes,actions_performed,queries_executed,evidence_reviewed,investigation_notes,findings,escalation_decision
INV00001,ALT00001,AN04637,2026-08-20 15:18:14,2026-08-20 16:04:14,46,Reviewed authentication logs; checked source IP,3,Yes,Checked endpoint telemetry and correlated network events.,Potential compromise identified,Yes
INV00002,ALT00002,AN16346,2026-08-28 23:22:37,2026-08-29 01:03:37,101,Reviewed authentication logs; checked source IP,5,No,Checked endpoint telemetry and correlated network events.,Potential compromise identified,Yes
INV00003,ALT00003,AN19613,2026-08-05 17:25:35,2026-08-05 18:54:35,89,Reviewed authentication logs; checked source IP,5,Yes,Checked endpoint telemetry and correlated network events.,Potential compromise identified,No
INV00004,ALT00004,AN23328,2026-08-13 07:38:00,2026-08-13 08:36:00,58,Checked threat intelligence and historical activity,12,Yes,Investigated user activity and historical baseline.,Likely false positive,Yes
INV00005,ALT00005,AN03365,2026-08-29 05:47:57,2026-08-29 06:25:57,38,Reviewed authentication logs; checked source IP,7,Yes,Validated detection against SIEM and endpoint evidence.,Potential compromise identified,No
INV00006,ALT00006,AN21231,2026-08-14 02:06:49,2026-08-14 03:18:49,72,"Correlated SIEM, firewall and endpoint telemetry",8,Yes,Checked endpoint telemetry and correlated network events.,Potential compromise identified,No
INV00007,ALT00007,AN06400,2026-08-28 02:09:43,2026-08-28 03:10:43,61,"Correlated SIEM, firewall and endpoint telemetry",12,Yes,Checked endpoint telemetry and correlated network events.,Benign activity,Yes
INV00008,ALT00008,AN03645,2026-08-13 21:22:16,2026-08-13 22:54:16,92,Reviewed endpoint logs; analyzed process tree,4,Yes,Validated detection against SIEM and endpoint evidence.,Potential compromise identified,Yes
INV00009,ALT00009,AN01605,2026-08-15 13:27:25,2026-08-15 13:42:25,15,"Correlated SIEM, firewall and endpoint telemetry",11,No,Validated detection against SIEM and endpoint evidence.,Benign activity,No
INV00010,ALT00010,AN18651,2026-08-08 13:15:46,2026-08-08 14:40:46,85,Reviewed authentication logs; checked source IP,12,Yes,Validated detection against SIEM and endpoint evidence.,Benign activity,Yes
INV00011,ALT00011,AN23938,2026-08-25 06:36:24,2026-08-25 06:47:24,11,Checked threat intelligence and historical activity,6,No,Validated detection against SIEM and endpoint evidence.,Benign activity,Yes
INV00012,ALT00012,AN19756,2026-08-31 03:15:44,2026-08-31 03:36:44,21,"Correlated SIEM, firewall and endpoint telemetry",7,Yes,Checked endpoint telemetry and correlated network events.,Benign activity,No
INV00013,ALT00013,AN07173,2026-08-07 22:31:41,2026-08-08 00:52:41,141,Reviewed endpoint logs; analyzed process tree,6,Yes,Reviewed authentication logs and source IP.,Benign activity,Yes
INV00014,ALT00014,AN09973,2026-08-01 08:12:40,2026-08-01 09:15:40,63,Reviewed endpoint logs; analyzed process tree,12,Yes,Reviewed authentication logs and source IP.,Likely false positive,No
