organization_id,organization_name,industry,organization_size,soc_maturity,region,created_at
ORG00001,Secure Systems 00001,Healthcare,Small,Advanced,West India,2025-10-16
ORG00002,Secure Systems 00002,Retail,Medium,Advanced,North India,2024-09-07
ORG00003,Secure Systems 00003,Healthcare,Enterprise,Basic,North India,2025-11-23
ORG00004,Secure Systems 00004,Retail,Medium,Advanced,Central India,2024-04-05
ORG00005,Secure Systems 00005,Retail,Enterprise,Basic,East India,2024-01-28
ORG00006,Secure Systems 00006,Telecommunications,Small,Basic,East India,2025-08-26
ORG00007,Secure Systems 00007,Telecommunications,Medium,Basic,West India,2024-12-14
ORG00008,Secure Systems 00008,Healthcare,Enterprise,Basic,West India,2024-04-14
ORG00009,Secure Systems 00009,Manufacturing,Large,Basic,East India,2026-05-17
ORG00010,Secure Systems 00010,Healthcare,Enterprise,Basic,Central India,2025-07-03
ORG00011,Secure Systems 00011,Manufacturing,Medium,Advanced,North India,2024-10-27
ORG00012,Secure Systems 00012,Retail,Large,Basic,South India,2024-02-16
ORG00013,Secure Systems 00013,Healthcare,Enterprise,Intermediate,East India,2026-06-06
ORG00014,Secure Systems 00014,Manufacturing,Medium,Intermediate,West India,2025-10-12
ORG00015,Secure Systems 00015,Telecommunications,Small,Advanced,South India,2024-08-02
ORG00016,Secure Systems 00016,Retail,Medium,Intermediate,East India,2025-06-30
ORG00017,Secure Systems 00017,Retail,Large,Basic,South India,2024-10-03
ORG00018,Secure Systems 00018,Finance,Large,Intermediate,West India,2026-04-21
ORG00019,Secure Systems 00019,Retail,Large,Basic,East India,2024-03-08
ORG00020,Secure Systems 00020,Education,Medium,Intermediate,South India,2025-02-09
ORG00021,Secure Systems 00021,Telecommunications,Enterprise,Advanced,East India,2024-09-09
ORG00022,Secure Systems 00022,Retail,Medium,Advanced,East India,2025-01-05
ORG00023,Secure Systems 00023,Finance,Small,Basic,South India,2024-04-03
ORG00024,Secure Systems 00024,Government,Small,Intermediate,East India,2026-03-22
ORG00025,Secure Systems 00025,Education,Large,Advanced,North India,2025-09-02
ORG00026,Secure Systems 00026,Healthcare,Large,Advanced,West India,2025-11-27
ORG00027,Secure Systems 00027,Telecommunications,Enterprise,Basic,East India,2024-04-24
ORG00028,Secure Systems 00028,Telecommunications,Medium,Advanced,North India,2024-01-04
ORG00029,Secure Systems 00029,Telecommunications,Medium,Basic,West India,2026-06-10
ORG00030,Secure Systems 00030,Technology,Small,Advanced,West India,2026-02-19
ORG00031,Secure Systems 00031,Finance,Small,Intermediate,West India,2025-05-15
ORG00032,Secure Systems 00032,Finance,Medium,Advanced,North India,2024-09-02
ORG00033,Secure Systems 00033,Education,Small,Advanced,South India,2024-03-28
ORG00034,Secure Systems 00034,Education,Medium,Intermediate,Central India,2024-05-11
ORG00035,Secure Systems 00035,Government,Medium,Advanced,South India,2026-06-12
ORG00036,Secure Systems 00036,Telecommunications,Enterprise,Advanced,West India,2025-12-31
ORG00037,Secure Systems 00037,Education,Small,Basic,South India,2025-03-24
ORG00038,Secure Systems 00038,Manufacturing,Small,Advanced,Central India,2024-03-06
ORG00039,Secure Systems 00039,Retail,Small,Basic,North India,2024-08-23
ORG00040,Secure Systems 00040,Healthcare,Small,Intermediate,North India,2024-08-22
ORG00041,Secure Systems 00041,Retail,Large,Advanced,East India,2025-06-10
ORG00042,Secure Systems 00042,Technology,Enterprise,Basic,East India,2024-08-07
ORG00043,Secure Systems 00043,Government,Medium,Basic,North India,2026-04-06
ORG00044,Secure Systems 00044,Government,Large,Intermediate,East India,2025-11-05
ORG00045,Secure Systems 00045,Finance,Small,Basic,East India,2025-04-23
ORG00046,Secure Systems 00046,Manufacturing,Small,Basic,South India,2026-01-15
ORG00047,Secure Systems 00047,Education,Medium,Intermediate,South India,2024-07-13
ORG00048,Secure Systems 00048,Education,Medium,Basic,East India,2024-10-12
ORG00049,Secure Systems 00049,Healthcare,Small,Advanced,Central India,2026-04-07
ORG00050,Secure Systems 00050,Finance,Small,Basic,South India,2026-05-06
ORG00051,Secure Systems 00051,Education,Enterprise,Basic,East India,2025-02-20
ORG00052,Secure Systems 00052,Technology,Enterprise,Basic,East India,2024-03-01
ORG00053,Secure Systems 00053,Education,Large,Intermediate,Central India,2024-09-28
ORG00054,Secure Systems 00054,Education,Medium,Basic,West India,2025-11-08
ORG00055,Secure Systems 00055,Finance,Small,Advanced,West India,2024-08-10
ORG00056,Secure Systems 00056,Finance,Enterprise,Advanced,Central India,2024-02-28
ORG00057,Secure Systems 00057,Finance,Small,Basic,North India,2024-06-10
ORG00058,Secure Systems 00058,Healthcare,Medium,Intermediate,North India,2025-09-01
ORG00059,Secure Systems 00059,Retail,Small,Advanced,North India,2025-08-06
ORG00060,Secure Systems 00060,Manufacturing,Large,Basic,West India,2025-03-05
ORG00061,Secure Systems 00061,Telecommunications,Enterprise,Basic,West India,2024-09-01
ORG00062,Secure Systems 00062,Manufacturing,Small,Basic,East India,2025-04-13
ORG00063,Secure Systems 00063,Healthcare,Small,Advanced,South India,2025-09-28
ORG00064,Secure Systems 00064,Telecommunications,Medium,Intermediate,North India,2025-06-02
ORG00065,Secure Systems 00065,Retail,Large,Intermediate,South India,2026-06-19
ORG00066,Secure Systems 00066,Telecommunications,Small,Advanced,Central India,2025-03-24
ORG00067,Secure Systems 00067,Healthcare,Medium,Intermediate,North India,2024-11-02
ORG00068,Secure Systems 00068,Technology,Large,Intermediate,Central India,2024-04-19
ORG00069,Secure Systems 00069,Manufacturing,Medium,Advanced,West India,2024-08-03
ORG00070,Secure Systems 00070,Education,Large,Basic,North India,2025-06-01
ORG00071,Secure Systems 00071,Government,Large,Basic,North India,2025-10-11
ORG00072,Secure Systems 00072,Technology,Large,Basic,East India,2024-12-07
ORG00073,Secure Systems 00073,Government,Small,Basic,North India,2025-07-18
ORG00074,Secure Systems 00074,Technology,Small,Intermediate,Central India,2025-12-08
ORG00075,Secure Systems 00075,Technology,Enterprise,Basic,North India,2025-07-19
ORG00076,Secure Systems 00076,Manufacturing,Small,Intermediate,South India,2024-11-11
ORG00077,Secure Systems 00077,Retail,Small,Intermediate,Central India,2025-11-29
ORG00078,Secure Systems 00078,Government,Medium,Basic,South India,2026-06-14
ORG00079,Secure Systems 00079,Technology,Enterprise,Basic,South India,2026-03-30
ORG00080,Secure Systems 00080,Manufacturing,Enterprise,Advanced,South India,2026-01-24
ORG00081,Secure Systems 00081,Technology,Small,Intermediate,North India,2024-09-30
ORG00082,Secure Systems 00082,Education,Medium,Basic,East India,2026-05-29
ORG00083,Secure Systems 00083,Telecommunications,Medium,Basic,North India,2024-12-24
ORG00084,Secure Systems 00084,Retail,Enterprise,Intermediate,West India,2025-11-06
ORG00085,Secure Systems 00085,Healthcare,Large,Intermediate,Central India,2026-06-04
